Store_Name,Address,Location,Timings,Rating_(reviewers),Phone
Kothapet Nagole Road,"1-1-62/5 Shrungeri Colony, Mohan Nagar, Kothapet Nagole Road, Hyderabad, Telangana, 500035",Hyderabad,11:00 AM to 09:30 PM, 4.9  (903) ,8929607657
Flagship Store at Gachibowli,"G2, Vaishnavi Tanmai Plaza, 10 Roads, Gachibowli, Near Hp Petrol Bunk, Opposite Rttc, Hyderabad, Telangana, 500032",Hyderabad,11:00 AM to 09:30 PM, 4.7  (2193) ,7428891268
Banjara Hills,"Ghmc 8-2- 681 & 681/1, Road No 12, Ghmc, Banjara Hills, Opposite Himalaya Book World, Hyderabad, Telangana, 500034",Hyderabad,11:00 AM to 09:30 PM, 4.9  (177) ,8929345305
New Kachiguda,"3-4-1081, Kachiguda Station Road, Barkatpura, Kachiguda, Near Kachiguda Signal, Hyderabad, Telangana, 500027",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1547) ,8929136909
Jubilee Hills,"Municipal No 8/2/293/82/A471, Road No 36, Jubilee Hills, Near Jubilee Police Station, Hyderabad, Telangana, 500033",Hyderabad,11:00 AM to 09:30 PM, 4.6  (390) ,7428891279
Narsingi,"Plot # 68A, Alkapur Road # 7, Puppal Guda, Opposite Celebrations Function Hall, Hyderabad, Telangana, 500089",Hyderabad,11:00 AM to 09:30 PM, 4.9  (948) ,9582951671
Karmanghat,"House No.10-1-81/1/2A & 10-1-81/1/3, Plot No 9, In Survey No 22 Part, Situated At Raghavendra Nagar Colony, Lingojiguda Village, Saroornagar Revenue Mandal, Under GHMC L B Nagar Circle, Ranga Reddy Di",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1752) ,8744095253
Hydernagar,"Dno-16-2-M/14/G1, Ground Floor, Sai Plaza, Charma Reddy Colony, Phase II, Hydernagar Village, Opposite Rainbow Children'S Hospital, Kukatpally, Hyderabad, Telangana, 500085",Hyderabad,11:00 AM to 09:30 PM, 4.8  (572) ,8929496181
Malaysian Townshiop,"VI KPHB Colony, Malaysian Townshiop, Kukatpally Village & Mandal, Under GHMC Kukatpally Circle, Medchal Malkajgiri, Ranga Reddy District, Hyderabad, Telangana, 500085",Hyderabad,11:00 AM to 09:30 PM, 4.8  (410) ,8743084107
HMT Hills Pragathinagar,"Flat No G, 2, Pragathi Nagar Road, Addagutta Society, HMT Hills, Beside Eenadu Bank, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana, 500085",Hyderabad,10:30 AM to 09:30 PM, 5.0  (64) ,9582494863
Quthbullapur,"Plot No 6, Ground Floor, Ganesh Housing Colony, Suchitra X Roads, Quthbullapur, Hyderabad, Telangana, 500067",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1532) ,8588809804
Gaddiannaram,"16-2-754/A/1/A, Asmangad Malakpet 6 Circle, Gaddiannaram, Beside Rajesh Dental Specialities, Hyderabad, Telangana, 500036",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1249) ,8929185505
Allwyn Colony,"Ground Floor, House No 2-22-88/2/A, Allwyn Colony, Situated Vijayanagar Colony, Enadu Society, Kukatpally, Near Patel Kunta Huda Park, Hyderabad, Telangana, 500072",Hyderabad,11:00 AM to 09:30 PM, 4.9  (562) ,8447911308
New Friends Colony,"13-6-798/1/21, New Friends Colony, Langar Houz, New Friends Colony, Beside Bapughat, Hyderabad, Telangana, 500008",Hyderabad,11:00 AM to 09:30 PM, 4.8  (346) ,8929335385
Hyderguda,"Ground Floor, Baba Towers, Tilak Road, King Koti, Hyderguda, Beside Bakezone, Hyderabad, Telangana, 500048",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1837) ,8447730260
Kapra,"House No 3-30/1, Plot No1, Sri Nagar Colony, Kapra Village & Mandal, Medchal District, Kapra, Hyderabad, Telangana, 500062",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1323) ,8929289540
Dilsukh Nagar,"16-11-741/C/13/5, Ground Floor, Vijetha Royal Empire, Indira Nagar, Dilsukh Nagar, Opposite Ram Raj Cotton, Hyderabad, Telangana, 500036",Hyderabad,11:00 AM to 10:00 PM, 4.7  (557) ,8826021555
Vivekananda Nagar,"House No 3-6-23/4, Plot No 297, Survey Numbers 137&139, Bagh Ameeri Village, Balanagar Madal, Kukatpally Cricle Ghmc, Ranga Reddy, Vivekananda Nagar, Beside Partha Dental Clinic, Hyderabad, Telangana,",Hyderabad,11:00 AM to 09:30 PM, 4.8  (640) ,8929808349
Alwal,"171 12, Nr Temple, Alwal Village, Ghmc, Alwal Circle, Malkajgiri Mandal, Ranga Reddy, Alwal, Beside Partha Dental Clinic, Hyderabad, Telangana, 500010",Hyderabad,11:00 AM to 09:30 PM, 4.9  (3367) ,9319359590
Manikonda,"House No 8-1-284/Ou/20, Ground Floor, Ou Colony, Shaikpet, Manikonda, Near Naturals Saloon, Hyderabad, Telangana, 500008",Hyderabad,11:00 AM to 09:30 PM, 4.6  (748) ,7428891346
Nallagandla,"Ground Floor, Ghmc 7-7/205, Nallagandle, Near Reliance Digital, Nallagandle, Hyderabad, Telangana, 500019",Hyderabad,11:00 AM to 09:30 PM, 4.3  (828) ,9821221604
Serilingampally,"Plot No3, Huda Trade Centre, Seri Nallagandla Village, Serilingampally Mandal And Municipality, Ranga Reddy District, Hyderabad, Telangana, 500019",Hyderabad,11:00 AM to 09:30 PM, 4.9  (403) ,8512831415
Kukatpally 2,"Mig 161, Ground Floor, Road No 1, Kphb Colony, Kukatpally 2, Opposite Holistic Hospital, Hyderabad, Telangana, 500072",Hyderabad,11:00 AM to 09:30 PM, 4.7  (1004) ,7428891359
Banjara Hills,"Mch No 6/3/348/B/201A, Ground Floor, Bke Owners Society, Road 1, Banjara Hills, Opposite Vangal Rao Park, Hyderabad, Telangana, 500034",Hyderabad,11:00 AM to 09:30 PM, 4.4  (251) ,7428891055
Chanda Nagar,"Shop No 2/105, C F2/F3, United Chambers, Near The Chennai Shopping Mall, Sri Ram Nagar Colony, Chanda Nagar, Hyderabad, Telangana, 500050",Hyderabad,10:30 AM to 09:30 PM, 4.5  (425) ,7291823140
GSM Mall,"Shop No Ff 101, First Floor, Gsm Mall, Madinaguda, Miyapur, Opposite My Home Jewel Apartments, Hyderabad, Telangana, 500049",Hyderabad,11:00 AM to 09:30 PM, 4.9  (603) ,8588891355
Puppalguda Shaikpet,"Plot No 40 & 41, Shop No 4-3/40/41/S2/A/1, S S Tower, Friends Colony, Puppalguda, Hyderabad, Telangana, 500089",Hyderabad,11:00 AM to 09:30 PM, 4.9  (590) ,8929338663
Shantosh Nagar,"&#34, Khaja Estate, Shop No 2, Ground Floor, 17-1-376/3, Shantosh Nagar, Hyderabad, Telangana, 500059",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1606) ,8447743931
Himayath Nagar,"Flat No 3-6-365, Y V Rao Mansion 104&105, Himayatnagar Road, Gagan Mahal, Hyderabad, Telangana, 500029",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1778) ,8826001648
Botanical Garden,"H No 1-57/19, Sri Ram Nagar, Botanical Garden Road, Kondapur, Opposite Airtel Showroom, Hyderabad, Telangana, 500031",Hyderabad,11:00 AM to 09:30 PM, 4.8  (1018) ,9818821647
Madeenaguda,"Shop No G2, Ground Floor, Kalyan Tulasi Ram Chambers, Madeenaguda, Opposite Croma & Allensolly, Hyderabad, Telangana, 500049",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1832) ,9971771565
Ramanthapur,"House No 3-11-65 & 68, Gokhale Nagar, Ramanthapur, Beside Raghavendra Tifins Center & Pharma Hub, Hyderabad, Telangana, 500013",Hyderabad,11:00 AM to 09:30 PM, 4.9  (738) ,8929174134
"Chanda Nagar, BHEL","2-88, National Highway 65, Gangaram, Chanda Nagar Bhel, Opposite Karachi Bakery, Hyderabad, Telangana, 500050",Hyderabad,11:00 AM to 09:30 PM, 4.9  (1377) ,9971711685
Uppal,"2 2 173, Ground Floor, Vijay Colony, Kv Rangreddy, Uppal, Near Gandhi Statue, Hyderabad, Telangana, 500039",Hyderabad,11:00 AM to 09:30 PM, 4.9  (957) ,8447743978
IDPL Chintal Main Road,"Ground Floor, House No 5 080, IDPL Chintal Main Road, Ranga Nagar Colony, Village Quthbullapur, Mandal, Quthbullapur, GHMC Gajularamaram Circle, Medchal Malkajgiri, Hyderabad, Telangana, 500055",Hyderabad,11:00 AM to 09:30 PM, 4.9  (929) ,9582385212
Raghunath Bazaar,"Shop No 210, Main Market, Raghunath Bazaar, Jammu & Kashmir, 180001",Jammu And Kashmir,10:30 AM to 09:00 PM, 4.9  (912) ,8447822812
Kunjwani,"Ground Floor & First Floor, National Highway, Kunjwani, Opposite Petrol Pump, Jammu & Kashmir, 180010",Jammu And Kashmir,10:30 AM to 09:00 PM, 4.9  (999) ,8929331381
Channi,"Ground Floor, Khasra No 4Min, Khata No 18Min, Khewat No 1 Min, Channi, Situated At Mouza Channi Kamala, Jammu & Kashmir, 180015",Jammu And Kashmir,10:30 AM to 09:00 PM, 4.9  (879) ,7303223224
Janipur,"Shop No 4, Lane No 1, Disco Road Janipur, Near Octave Showroom, Jammu & Kashmir, 180007",Jammu And Kashmir,11:00 AM to 09:00 PM, 4.9  (1566) ,9319375567
RS Pura Jammu,"Ground Floor, Khasra No 184 Min, Khata No 691, Khewat No 118, Gagian, RS Pura Jammu, Jammu and Kashmir, 181102",Jammu And Kashmir,10:00 AM to 08:00 PM, 4.9  (228) ,9582548453
The Wave Mall,"Shop No 12, Upper Ground Floor, Malik Market, The Wave Mall, Opposite Bathindi Road, Jammu, Jammu & Kashmir, 181152",Jammu And Kashmir,10:30 AM to 09:00 PM, 4.9  (1008) ,7428891262
Talab Tillo,"Ground Floor, B2, Bharat Nagar, Talab Tillo, Jammu & Kashmir, 180002",Jammu And Kashmir,10:30 AM to 09:00 PM, 4.9  (654) ,8929327307
Udhampur,"Dhar Road, Adjoining Allahabad Bank, Udhampur, Below Oriental Bank Of Commerce, Jammu & Kashmir, 182101",Jammu And Kashmir,11:00 AM to 09:00 PM, 4.9  (1050) ,8929337347
Srinagar Residency,"Le Regal, Near Kohli Brothers, Regal Chowk, Residency Road, Srinagar, Jammu and Kashmir, 190001",Jammu And Kashmir,10:30 AM to 07:00 PM, 4.8  (21) ,9953880635
Gandhinagar,"Shop No 18, Gole Market, Gandhi Nagar, Near Manyavar Store, Jammu & Kashmir, 180004",Jammu And Kashmir,11:00 AM to 09:00 PM, 4.9  (1667) ,8826641369
Adityapur,"Site No 1, Aditypur Colony, Tata Kandra Road, Adityapur, Jamshedpur, Jharkhand, 831013",Jharkhand,10:30 AM to 08:30 PM, 4.9  (693) ,9870547548
Ramgarh,"Plot No 172, Gram Thana Chawk, Ramghar Cantt Area, Near Gandhi Chawk, Ramgarh, Jharkhand, 829122",Jharkhand,10:30 AM to 08:30 PM, 5.0  (725) ,8447834529
Harmu Ranchi,"Ground Floor, Girdhar Plaza, Harmu Road, Girdhar Plaza, Ranchi, Jharkhand, 834001",Jharkhand,10:30 AM to 08:30 PM, 4.8  (1428) ,9654581422
Nilanchal Colony,"Khata No 5, Plot No 769, Nilanchal Colony, Chanakya Nagar, Saraidhela, Dhanbad, Jharkhand, 828127",Jharkhand,10:30 AM to 08:30 PM, 4.9  (843) ,8447932982
H B Road,"Global Enterprises, Ranjen'S Chandralaya, H B Road, Near Santevita Hospital, Opposite Seventh Heaven Restaurant, Ranchi, Jharkhand, 834001",Jharkhand,10:30 AM to 08:30 PM, 4.6  (664) ,7428890056
Bistupur,"3, Natraj Mansion, Bistupur Main Road, Bistupur, Jamshedpur, Jharkhand, 831001",Jharkhand,10:30 AM to 08:30 PM, 4.9  (1652) ,7303227228
Sector 4 Bokaro,"City Centre, Sector 4, A11, Below Shane Punjab Restaurant, Sector 4 Bokaro, Opposite Central Bank Of India, Bokaro, Jharkhand, 827004",Jharkhand,10:30 AM to 08:30 PM, 4.7  (351) ,9582390099
Dimna Road,"H No 364, Dimna Road, Mango, Jamshedpur, Near Micro Chemical Lab, Bahar Dari, East Singhbhum, Jamshedpur, Jharkhand, 831012",Jharkhand,10:30 AM to 08:30 PM, 5.0  (258) ,9582261948
Shyamganj,"Ground Floor, Savitri Complex, Railway Station Road, Near ICICI Bank, Shyamganj, Deoghar, Jharkhand, 814112",Jharkhand,10:30 AM to 09:00 PM, 4.9  (556) ,9643813896
Bank More,"Ug 3, Upper Ground Floor, Urmila Tower, Bank More, Near Shanti Bhawan, Dhanbad, Jharkhand, 826001",Jharkhand,10:30 AM to 08:30 PM, 4.8  (1037) ,9582440305
Bariatu,"Shop No 14 & 15, Malabar Enclave, Bariatu, Near D A V School, Ranchi, Jharkhand, 834009",Jharkhand,10:30 AM to 08:30 PM, 4.8  (803) ,8929328709
Azad Nagar Road No 1,"Shop No 1, Ground Floor, House No 1, Building Asfia Jamal, Gold PS Mango, Azad Nagar, Road No 01, Ward No 8, MNAC, Opposite Ghandhi Maidan, Jamshedpur, Jharkhand, 831012",Jharkhand,10:30 AM to 08:30 PM, 4.9  (461) ,8929218725
Mall Of Ranchi,"Unit No 3, Mall Of Ranchi, Ratu Road, Ranchi, Jharkhand, 834001",Jharkhand,11:00 AM to 09:00 PM, 4.9  (613) ,9582378913
Sackhi,"Holding No 16, New Kalimati Road, Sackhi, Jamshedpur, Jharkhand, 831001",Jharkhand,10:30 AM to 08:30 PM, 4.8  (971) ,9870357358
Bokaro Chas,"Plot No 7090, Mouza Chas, Pargana Chas, P S Chas, Thana No 30, Khaspel, Near Bypass Road, Ward No 16, Bokaro, Jharkhand, 827013",Jharkhand,10:30 AM to 08:30 PM, 5.0  (624) ,9899412853
"Main Road, Ranchi","Ground Floor, Capitol Hill Building, Main Road, Capitol Hill Building, Ranchi, Jharkhand, 834001",Jharkhand,10:30 AM to 08:30 PM, 4.8  (555) ,9319372016
Nucleus Mall,"Shop No S5, Second Floor, Circular Road, Lalpur, Nucleus Mall, Ranchi, Jharkhand, 834001",Jharkhand,10:30 AM to 08:30 PM, 4.9  (1709) ,7428891303
CMPF Colony,"Police Line, Hirapur, CMPF Colony, Near HDFC Bank, Dhanbad, Jharkhand, 826001",Jharkhand,10:30 AM to 08:30 PM, 4.9  (250) ,9953776376
Kanke Road,"Shop No 9, Ground Floor, Chandni Chowk, Astor Green, Kanke Road, Chandni Chowk, Ranchi, Jharkhand, 834008",Jharkhand,10:30 AM to 08:30 PM, 4.8  (620) ,8447731457
P&M Hi Tech City Center Mall,"Un F 04, Outer Circle Rd, Millenium Park, Bistupur, P & M Hi Tech City Center Mall, Jamshedpur, Jharkhand, 831001",Jharkhand,11:00 AM to 09:00 PM, 4.9  (1287) ,7428891345
Hazaribagh,"Shop No 235, Guru Gobind Singh Road, Near Annada Chowk, Hazaribagh, Jharkhand, 825301",Jharkhand,10:30 AM to 08:30 PM, 4.9  (710) ,7428891097
Kadma,"Ground Floor, Narayan Complex, Kadma, Jamshedpur, Jharkhand, 831005",Jharkhand,10:30 AM to 08:30 PM, 4.9  (1459) ,8929607647
Puruliya Road,"Puruliya Road, Dangratoli Chowk, Near Kashyap Eye Hospital, Dangratoli, NayaToli, Ranchi, Jharkhand, 834001",Jharkhand,10:30 AM to 08:30 PM, 5.0  (96) ,9953624837
NRI layout,"No 06, Double Road, Nri Layout, Ramamurthy Nagar, Bengaluru, Karnataka, 560016",Karnataka,10:30 AM to 09:30 PM, 4.9  (1121) ,7065122333
Thammenahalli,"No 196 Mei Layout, 60Ft Main Road, Dassarahalli, Bengaluru, Karnataka, 560057",Karnataka,11:00 AM to 09:30 PM, 4.9  (654) ,8447895934
Kengeri Satellite,"Shop No 1443, First Main Road, Kengeri Satellite Town, Hoysala Circle, Bengaluru, Karnataka, 560060",Karnataka,11:00 AM to 09:30 PM, 4.9  (1638) ,7428891103
Kumaraswamy Layout,"Shop No 1319, 50 Feet Main Rd, Kumaraswamy Layout, Sri Lakshmi Venkateshwara Arcade, Bengaluru, Karnataka, 560078",Karnataka,11:00 AM to 09:30 PM, 4.8  (961) ,7428891104
Flagship Store Empire Mall,"UG6 & UG8, Empire Mall, MG Road, SDM Law College, Mangaluru, Karnataka, 575003",Karnataka,11:00 AM to 09:00 PM, 4.9  (5115) ,7428890010
Uttarahalli Main Road,"Shop No 9/3, Site Number 46, Uttarahalli Main Road, Next To IDFC Bank, Bengaluru, Karnataka, 560061",Karnataka,11:00 AM to 09:30 PM, 4.9  (1790) ,7428891105
Keshwapur,"Vivanata Building, CTS No 439/1A-15, Ward No 30, Subhas Nagar, Kusugal Road, Keshwapur, Hubballi, Karnataka, 580023",Karnataka,11:00 AM to 09:30 PM, 4.9  (427) ,8510801592
Flagship Store at Nagarbhavi,"Shop No 1441/1309, Rajanna Complex, Jnanabharathi Main Road, Jyothi Nagar, Nagarbhavi Circle, Bengaluru, Karnataka, 560072",Karnataka,11:00 AM to 09:30 PM, 4.9  (2612) ,7428891106
Flagship Store Koramangala,"Shop No 116, Ground Floor, Khb Colony, 7Th Block, 80 Feet Road, 80 Ft Road, Koramangala, Opposite Hangover Brewery, Bengaluru, Karnataka, 560034",Karnataka,11:00 AM to 09:30 PM, 4.7  (1832) ,8130384141
Mandya,"Ground Floor, Madhu Vachar Complex, Ashok Nagar, Opposite Mandya Railway Station, Mandya, Karnataka, 571401",Karnataka,11:00 AM to 09:00 PM, 4.9  (3111) ,9821080315
Jalanagar,"Sno 890, 891, Plot No 294, Jalanagar, Near S R Colony Vijaypur, Bijapur, Karnataka, 586109",Karnataka,11:00 AM to 09:00 PM, 4.9  (861) ,8376801547
Banashankari,"Mamatha Complex, 80 Feet Road, Nagendra Block, Banashankari 1St Stage, Bengaluru, Karnataka, 560085",Karnataka,11:00 AM to 09:30 PM, 4.9  (2413) ,7428890028
Court Road Gulbarga,"Shop No-19, 1St Floor, Venkateshwara Marata Shetty, Kalaburgi, Gulbarga Court Road, Near Forest Office, Gulbarga, Karnataka, 585102",Karnataka,11:00 AM to 09:00 PM, 4.9  (3117) ,9319368896
Sedam Road Gulbarga,"Shop No 1, Ground Floor, Basava Complex, LIG-141, 3rd Phase, Opposite Santosh Hotel, Sedam Road, Badepur Colony, Gulbarga, Karnataka, 585105",Karnataka,11:00 AM to 09:00 PM, 4.9  (1752) ,7065310968
HSR Layout,"Shop No 13, Pwd Quarters, 27Th Main, Agara, Sector 1, Hsr Layout, Next To Al-Daaz Hotel, Bengaluru, Karnataka, 560102",Karnataka,11:00 AM to 09:30 PM, 4.8  (4055) ,7428890041
Sirsi,"Ground Floor, 247/A, Brs Arcade, Hospet Road, Uttara Kannada, Sirsi, Karnataka, 581402",Karnataka,11:00 AM to 09:00 PM, 5.0  (2998) ,9311773738
Rajaji Nagar 19th Main Road,"Ground Floor No 50/2, 19Th Main Road, 1St Block, Rajaji Nagar, Bengaluru, Karnataka, 560010",Karnataka,11:00 AM to 09:30 PM, 4.9  (784) ,7065038241
Malleshwaram,"Shop No 17, Om Sri Mahaganapathi Complex, Margosa Road, Malleshwaram, Near Narayana Super Speciality Hospital, Bengaluru, Karnataka, 560003",Karnataka,11:00 AM to 09:00 PM, 4.8  (1624) ,7428890050
"4th block, Jayanagar","Shravanee Bilss Municipal No 654/66, 11Th Main, 4Th Block, Jayanagar, Bengaluru, Karnataka, 560011",Karnataka,11:00 AM to 09:30 PM, 4.9  (628) ,8447931951
Konena Agrahara,"Shop No 89/1, Ground Floor A M Plaza, Hal Old Airport Road, Konena Agrahara, Rajeshwari Theatre, Bengaluru, Karnataka, 560017",Karnataka,11:00 AM to 09:30 PM, 4.7  (882) ,7428891134
AECS Layout,"Shop No 302, 60 Feet Road, Kundanahalli, Aecs Layout, Near Post Office, Bengaluru, Karnataka, 560037",Karnataka,11:00 AM to 09:30 PM, 4.6  (1834) ,7428891135
Sector 11 New Tippasandra,"Shop No L 12, Lic Colony, Sector 11, Jeevan Beema Nagar, New Tippasandra, Opposite Nal Colony, Bengaluru, Karnataka, 560075",Karnataka,11:00 AM to 09:30 PM, 4.9  (1186) ,7428891137
Chansandra,"#943, Dr Vishnuvardhan Road, Dwarakanagar, Channasandra, Rr Nagar, Chansandra, Near By Rnsit Engineering College, Bengaluru, Karnataka, 560098",Karnataka,11:00 AM to 09:30 PM, 4.9  (1155) ,9319363820
Khade Bazar,"#3161, Khade Bazar Main Road, Khade Bazar, Near Maruti Mandir, Belagavi, Karnataka, 590001",Karnataka,11:00 AM to 09:00 PM, 4.9  (3411) ,8447731811
Ramamurthy Nagar,"Shop No 3, Maruthi Complex, Ramamurthi Nagar Main Road, Ramamurthy Nagar, Near Ramamurthy Nagara Police Station, Bengaluru, Karnataka, 560016",Karnataka,11:00 AM to 09:30 PM, 4.8  (959) ,7428890074
Rajaji Nagar,"#179/Y Ground Floor, 12Th Main, 3Rd Block, Bashyam Circle Rajajinagar Nagar, Rajaji Nagar, 3Rd Block, Opposite To Ashirwad Supermarket, Bengaluru, Karnataka, 560010",Karnataka,11:00 AM to 09:30 PM, 4.7  (504) ,7428891138
Ullal Road,"Anjanadri Complex No 04, Ullal Main Road, Government Press Layout, Near By Brahmashree Upahara, Bengaluru, Karnataka, 560056",Karnataka,11:00 AM to 09:30 PM, 4.8  (1672) ,9319369831
Flagship Store Indiranagar,"1201, Ground Floor, Hal 2Nd Stage, Indiranagar, 100 Feet Road, Near Doopanahalli Bus Stop, Bengaluru, Karnataka, 560038",Karnataka,11:00 AM to 10:00 PM, 4.7  (1087) ,7428890075
Jalahalli,"Shop No 7 & 8, OMC, Shabari Complex, SM Road, Jalahalli, Near Ayyappa Temple, Bengaluru, Karnataka, 560057",Karnataka,11:00 AM to 09:30 PM, 4.8  (1183) ,7428891140
Manipal,"Door No 16 122-B 5, Ground Floor, Ar Plaza, Syndicate Circle Manipal, Manipal, Karnataka, 576104",Karnataka,10:30 AM to 09:00 PM, 4.9  (3285) ,8447818933
URS Road,"Shop No 9, D Devaraja, Urs Road, Next To City Bus Stop, Mysuru, Karnataka, 570001",Karnataka,11:00 AM to 09:00 PM, 4.9  (11439) ,7428890102
Maruthi Sevanagar,"No 85, Maruthi Sevanagar, Netaji Road, Kammanahalli Main Road, Kammanahalli, Below Manappuram Finance Ltd, Bengaluru, Karnataka, 560084",Karnataka,11:00 AM to 09:30 PM, 4.9  (881) ,9319356498
Vidyaranyapura,"#40, Narsipura Layout, Vidyaranyapura, Near Last Bus Stand, Bengaluru, Karnataka, 560097",Karnataka,11:00 AM to 09:30 PM, 4.9  (1270) ,8929327348
Garuda Mall,"Unit No 106, First Floor, Magrath Road, Ashok Nagar, Bengaluru, Karnataka, 560025",Karnataka,11:00 AM to 09:30 PM, 4.8  (648) ,9582891429
Marenhalli Road,"R J Arcade, Ground Floor, 27th Main,100ft Ring Road Jayanagar, 9th Block, Opposite Metro Pillar #87, Besides Jawa Bikes, Bengaluru, Karnataka, 560069",Karnataka,11:00 AM to 09:30 PM, 4.9  (1329) ,7290016070
Siddhartha Layout,"176, Gani Complex, Dr. Rajkumar Rroad, Raghavendra And Nazarbad Mohalla, Opposite Shubodaya Hospital, Mysuru, Karnataka, 570011",Karnataka,11:00 AM to 09:00 PM, 4.9  (1167) ,8929442765
Begur Main Raod,"149, Hongasandra, Begur Main Road, Hongasandra, Begur Main Raod, Bengaluru, Karnataka, 560068",Karnataka,11:00 AM to 09:30 PM, 4.8  (666) ,8587908948
Mantri Mall Malleswaram,"Lg1, Ground Floor, Mantri Square Mall, Sampige Road, Malleswaram, Bengaluru, Karnataka, 560003",Karnataka,11:00 AM to 09:30 PM, 4.9  (1282) ,9718430381
Mudhol,"C S No 3132/2B And 3141/2, Ground Floor, First Main Road, Mudhol, Karnataka, 587313",Karnataka,11:00 AM to 09:00 PM, 5.0  (1648) ,8929337327
Gopalan Signature Mall,"Shop No 6, 1St Floor, Gopalan Signature Mall, Cv Raman Nagar, Opposite Rmz Infinity, Old Madras Road, Bengaluru, Karnataka, 560038",Karnataka,11:00 AM to 09:30 PM, 4.8  (927) ,7428891163
RK Hegde Nagar,"Site No 74, M.C.E.C.H.S Layout, 1St Phase, Rk Hegde Nagar, Behind Karnataka Bank, Bengaluru, Karnataka, 560077",Karnataka,11:00 AM to 09:30 PM, 4.9  (1075) ,8929288248
Kaggadasapura,"Ground Floor 191/3, Kaggadasapura Main Road, Ward No 83, CV Raman Nagar, Pid No 83-53 191/3, Bengaluru, karnataka, 560093",Karnataka,11:00 AM to 09:30 PM, 4.9  (1661) ,9582368345
Flagship Store at BTM Layout,"Shop No 938, 16Th Main Road, Btm 2Nd Stage, Stage 2, Btm Layout, Btm Layout, Bengaluru, Karnataka, 560076",Karnataka,11:00 AM to 09:30 PM, 4.7  (2491) ,7428891164
Horamavu,"Building No 33, Horamavu Main Road, Banasawadi, Horamavu, Opposite Poorvika Mobiles, Bengaluru, Karnataka, 560043",Karnataka,11:00 AM to 09:30 PM, 4.8  (469) ,9319367919
Sindhanur,"C M C No- 6-1-1926, Ashapuri Complex, Gangavathi Road, Sindhanur, Opposite Axis Bank, Raichur, Karnataka, 584128",Karnataka,11:00 AM to 09:00 PM, 5.0  (1991) ,8929338697
Malleshpalya CV Raman Nagar,"No 38/1 9Th Main, New Thippsandra Post, Malleshpalya, Near Nile Institue Of Languages And Education, Bengaluru, Karnataka, 560075",Karnataka,11:00 AM to 09:00 PM, 4.8  (1420) ,7303161162
Konanakunte,"Anjanapura Main Road, Konanakunte Cross, Konanakunte, Opposite Hdfc Bank, Bengaluru, Karnataka, 560062",Karnataka,11:00 AM to 09:30 PM, 4.9  (1632) ,8929266341
Koramangala 5th Block,"No 8, 5th Cross Road, KHB Colony, 6th Block, Koramangala, Bengaluru, Karnataka, 560095",Karnataka,11:00 AM to 09:30 PM, 4.8  (288) ,9811036731
"Club Road, Hubli","Shop No 4, Sona Chambers, Club Road, Deshpande Nagar, Opposite Karnataka Wine Mart, Hubli, Karnataka, 580029",Karnataka,11:00 AM to 09:00 PM, 4.9  (2342) ,7428890126
Dharwad,"Ground Floor, Pb Road, Near Jubilee Circle Bus Stop, Court Circle, Dharwad, Karnataka, 580001",Karnataka,11:00 AM to 09:00 PM, 4.9  (4188) ,8448440316
Jakkur,"Plot No 222, Survey No 98/3, 7Th Block, Jakkur Arkavathy Layout, Bengaluru, Karnataka, 560064",Karnataka,11:00 AM to 09:30 PM, 4.8  (687) ,8929341208
Lulu Global Mall,"Lulu Global Mall, Minerva Mills Compound, Rajajinagar, Opposite Sujata Theatre, Bengaluru, Karnataka, 560023",Karnataka,10:30 AM to 09:30 PM, 4.9  (871) ,8447821159
Anekal Town,"7, Old Mysore Bank Road, Anekal Town, Bengaluru, Karnataka, 562106",Karnataka,11:00 AM to 09:30 PM, 4.9  (565) ,8929345106
Nagadevanahalli,"No 7 & 8, 100Ft Feet Road, Nagadevanahalli, Kengeri, Near Bharat Petrol Pump, Bengaluru, Karnataka, 560056",Karnataka,11:00 AM to 09:30 PM, 4.9  (1059) ,8929275902
Flagship Store at Marathahalli,"G3/G4, Sigma Arcade, Marathahalli, Near Tulsi Theatre, Bengaluru, Karnataka, 560037",Karnataka,11:00 AM to 09:30 PM, 4.8  (5639) ,7428890133
New Bel Road,"Shop No 11, Ground Floor, 2Nd Stage, New Bel Road, Chikkamaranahalli, Near Ramachandra Convention Hall, Bengaluru, Karnataka, 560094",Karnataka,11:00 AM to 09:30 PM, 4.9  (2099) ,7428890134
Moodalapalya,"No 166, Moodalapalya, Nagarbhavi Main Road, Madhura Nagar, Moodalapalya, Bengaluru, Karnataka, 560070",Karnataka,11:00 AM to 09:30 PM, 4.9  (1190) ,8447822969
SIT Tumkur,"No 2164/796, Sit Main Road, Near 11Th Cross, Tumkur, Karnataka, 572103",Karnataka,11:00 AM to 09:00 PM, 4.8  (2702) ,8929344598
